bug_id,bug_description,module,bug_type,severity,status,developer,priority,created_date
BUG001,Dashboard API timeout error,Dashboard,Database,Critical,Open,Developer_C,Critical,2026-03-07
BUG002,Inventory records duplicated,Inventory,Mobile,Medium,In Progress,Developer_E,Medium,2026-06-28
BUG003,Notifications page freezes unexpectedly,Notifications,Backend,Medium,Resolved,Developer_C,Medium,2026-01-15
BUG004,Search page crashes on submit,Search,Frontend,Low,Open,Developer_E,Low,2026-08-12
BUG005,Reports records duplicated,Reports,Backend,High,Closed,Developer_E,High,2026-12-17
BUG006,User Profile export fails for large files,User Profile,Security,Critical,Open,Developer_C,Critical,2026-05-10
BUG007,Settings validation failure,Settings,Database,High,Closed,Developer_B,High,2026-06-28
BUG008,Notifications export fails for large files,Notifications,Backend,Critical,Open,Developer_C,Critical,2026-06-01
BUG009,Settings notifications not sent,Settings,Mobile,High,Resolved,Developer_E,High,2026-05-10
BUG010,Reports records duplicated,Reports,Frontend,Critical,Open,Developer_E,Critical,2026-09-16
BUG011,Inventory records duplicated,Inventory,Backend,Low,Open,Developer_E,Low,2026-03-03
BUG012,Database notifications not sent,Database,Backend,High,Resolved,Developer_D,High,2026-10-07
BUG013,Inventory records duplicated,Inventory,Security,Medium,In Progress,Developer_E,Medium,2026-07-23
BUG014,Orders records duplicated,Orders,Frontend,Critical,Closed,Developer_E,Critical,2026-07-07
BUG015,Settings export fails for large files,Settings,Database,Critical,Closed,Developer_D,Critical,2026-08-02
BUG016,Settings notifications not sent,Settings,Security,Low,Resolved,Developer_E,Low,2026-05-14
BUG017,Payments API timeout error,Payments,Mobile,Medium,In Progress,Developer_B,Medium,2026-09-03
BUG018,API module returns 500 error,API,Backend,Low,Closed,Developer_D,Low,2026-01-15
BUG019,Analytics page crashes on submit,Analytics,Frontend,High,Resolved,Developer_E,High,2026-12-06
BUG020,Settings validation failure,Settings,Database,High,Open,Developer_A,High,2026-06-24
BUG021,Notifications page freezes unexpectedly,Notifications,Backend,Medium,In Progress,Developer_C,Medium,2026-05-14
BUG022,Inventory module returns 500 error,Inventory,Security,Critical,Open,Developer_E,Critical,2026-05-21
BUG023,Inventory API timeout error,Inventory,Database,Critical,In Progress,Developer_E,Critical,2026-06-16
BUG024,Messaging functionality broken,Messaging,Security,Low,In Progress,Developer_E,Low,2026-06-07
BUG025,Payments page freezes unexpectedly,Payments,Security,High,Open,Developer_B,High,2026-01-17
